ESTADO,MUNICÍPIO,REGIONAL,Com qual gênero você se identifica?,Qual é a sua idade?,Qual é o seu grau de escolaridade?,Quantas pessoas vivem na sua casa?,Qual a renda mensal da sua família?,Faixa Renda,Renda Per Capita,Faixa Renda Per Capita,Salário utilizado para pagar a conta,"De 1 a 10, qual nota você dá para o fornecimento de energia sem interrupção, ou seja, não faltar luz na sua casa?","De 1 a 10, que nota você dá para a variação da energia, ou seja, sem ficar alternando luz forte com luz fraca na sua casa?","De 1 a 10, qual nota você atribui para a rapidez na volta da energia quando falta energia na sua casa, ou seja, o tempo que leva para a energia voltar, quando falta?","Alguma vez você recebeu algum aviso da EMPRESA DE ENERGIA, informando que você ficaria sem energia, por causa da realização de serviços para melhorar a rede elétrica?","Caso sim, como você ficou sabendo que a falta de energia aconteceu por causa de um serviço de melhoria da rede elétrica que tinha sido programado pela EMPRESA DE ENERGIA? (Citar os possíveis canais para medir qual o meio de comunicação mais eficaz)","De 1 a 10, como você avalia o aviso recebido?",A EMPRESA DE ENERGIA fornece orientações para evitar o desperdício de energia?,"A EMPRESA DE ENERGIA orienta o cliente sobre a medição do consumo de energia, ou seja, como se faz a leitura do medidor?",A EMPRESA DE ENERGIA informa aos clientes sobre os riscos e perigos da rede elétrica?,A EMPRESA DE ENERGIA esclarece aos clientes sobre seus direitos e deveres?,Você recebe mensalmente sua conta de luz?,Por onde você recebe sua conta de luz?,Dê uma nota de 1 até 10 para o prazo entre o recebimento da conta e o vencimento (pagamento) da conta.,"Dê uma nota de 1 até 10 para a conta de luz sem erros, ou seja, com a leitura do seu consumo correta.",Dê uma nota de 1 até 10 para a facilidade no entendimento das informações que estão na conta de luz.,"Dê uma nota de 1 até 10 para a disponibilidade de locais para pagamento (tais como bancos, internet, correios, rede comercial conveniada tais como supermercados, farmácias dentre outros). ",Dê uma nota de 1 até 10 para a data de vencimento da conta de luz.,Você sabia que é possível alterar a data do vencimento da sua fatura?,Mudar a data do vencimento te ajudaria?,"Você já entrou em contato com a EMPRESA DE ENERGIA, qual o canal de comunicação foi utilizado? (qual canal?)",Qual serviço foi solicitado?,Dê uma nota de 1 até 10 para a facilidade para entrar em contato com a empresa quando quiser pedir informações ou serviços.,"Qual nota você atribui para o tempo de espera de atendimento da EMPRESA DE ENERGIA, seja por telefone, agência EMPRESA DE ENERGIA ou colaborador em campo (eletricista, leiturista etc). (notas de 1 até 10)",Qual nota você atribui a agilidade/rapidez do atendimento ao consumidor (pessoa que o atende por telefone ou na agência da EMPRESA DE ENERGIA)? (nota de 1 até 10),"De 1 a 10, qual nota você atribui para o conhecimento que os colaboradores EMPRESA DE ENERGIA têm sobre o assunto, sobre conseguir responder suas dúvidas.","De 1 a 10, qual nota você atribui para facilidade de entendimento das informações dadas pela EMPRESA DE ENERGIA (as informações são claras e fáceis de entender)?","De 1 a 10, qual nota você atribui para a educação e gentileza da equipe?",Dê uma nota de 1 até 10 para o prazo informado pela empresa para a realização dos serviços solicitados pelo consumidor.,"Dê uma nota de 1 até 10 para solução definitiva do problema, ou seja, resolver o problema de uma vez.",Dê uma nota de 1 até 10 para o cumprimento do prazo informado pela empresa para resolver as solicitações dos consumidores.,A EMPRESA DE ENERGIA respeita os direitos dos consumidores?,A EMPRESA DE ENERGIA é justa com os consumidores?,"A EMPRESA DE ENERGIA investe na melhoria da qualidade do fornecimento de energia, ou seja, investe em melhorias do fornecimento de energia, como por exemplo, faz manutenção em transformadores, em fios, em postes etc?",A EMPRESA DE ENERGIA comunica aos seus consumidores sobre a sua atuação e atividades realizadas? (Nota de 1 até 10),"De 1 a 10, a EMPRESA DE ENERGIA combate o consumo irregular da energia elétrica, por exemplo fraudes como gatos, furto de energia etc?",A EMPRESA DE ENERGIA fornece atendimentos sem discriminação ou imparcialidade?,"A EMPRESA DE ENERGIA está disposta a negociar com seus clientes, como por exemplo em parcelamento de faturas?",A EMPRESA DE ENERGIA cuida do meio ambiente?,"A EMPRESA DE ENERGIA é uma empresa preparada organizada para atender casos de emergência (enchentes, deslizamentos de terra, incêndio, tempestades muito fortes com muito vento)?",SATISFACAO_GERAL,Quanto mais ou menos você paga por mês em sua conta de luz?,"Como você considera o valor da conta de energia de 1 a 5, onde 1 é muito caro, 3 normal e 5 muito barato?",PerCapitaCategoria,Comprometimento (%),UF,Vulneravel_Renda,Vulneravel_Educacao,Pobreza_Energetica,Vulneravel_Multiplo,Faixa_Comprometimento
ALAGOAS,CAJUEIRO,LESTE,Feminino,Acima de 60,Fundamental completo,2,4000.0,De 3501 a 4000,2000.0,De 1501 a 2000,De 11 a 20%,9,9,9,Sim,Rádio,9,4,4,6,10,Não,E-mail,8,9,9,9,10,Sim,Não,Agência,Ligação nova de energia,2,2,4,2,4,4,1,2,4,1,4,5,3,5,1,4,1,5,4,399,1.0,Classe B,9.975000000000001,AL,False,False,False,0,Baixo (<10%)
ALAGOAS,CAJUEIRO,LESTE,Feminino,41 - 50,Fundamental incompleto,5,2500.0,De 2001 a 2500,500.0,De 401 a 500,De 71 a 80%,7,1,1,Não,,,9,6,7,8,Sim,Impressa e entregue pelo leiturista,7,5,3,5,5,Não,Não,Aplicativo,2ª via de conta,2,2,2,1,5,1,2,2,5,6,5,4,8,1,3,3,4,5,2,383,2.0,Baixa renda,15.32,AL,True,True,True,3,Medio (10-20%)
ALAGOAS,CAJUEIRO,LESTE,Feminino,31 - 40,Fundamental incompleto,4,2800.0,De 2501 a 3000,700.0,De 601 a 700,De 41 a 50%,3,3,2,Não,,,5,7,10,8,Não,Impressa e entregue pelo leiturista,5,7,5,9,1,Não,Não,Eletricista/ Leiturista,Informações gerais,1,1,4,2,3,4,5,4,2,4,3,4,1,2,8,2,3,8,4,303,1.0,Baixa renda,10.821428571428573,AL,True,True,True,3,Medio (10-20%)
ALAGOAS,CAJUEIRO,LESTE,Feminino,18 - 30,Médio completo,4,3333.3333333333335,De 3001 a 3500,833.3333333333334,De 801 a 900,De 21 a 30%,6,6,1,Sim,Porteiro/ Síndico,6,4,5,10,6,Sim,Impressa e entregue pelo leiturista,5,2,3,9,10,Sim,Não,Eletricista/ Leiturista,Informações gerais,1,3,5,4,5,1,3,3,4,1,2,5,6,7,5,4,2,3,5,238,1.0,Classe C,7.139999999999999,AL,False,False,False,0,Baixo (<10%)
ALAGOAS,CAJUEIRO,LESTE,Masculino,31 - 40,Analfabeto,3,1300.0,De 601 a 1500,433.3333333333333,De 401 a 500,De 81 a 90%,10,10,10,Sim,Jornal,10,8,8,4,9,Não,Impressa e entregue pelo leiturista,10,9,2,8,3,Não,Sim,Telefone 0800,Falta de energia,6,9,7,6,10,10,8,5,6,8,3,3,3,3,6,6,1,7,9,379,3.0,Baixa renda,29.153846153846153,AL,True,True,True,3,Alto (>20%)
ALAGOAS,CAJUEIRO,LESTE,Feminino,31 - 40,Fundamental completo,3,2200.0,De 2001 a 2500,733.3333333333334,De 701 a 800,De 21 a 30%,7,1,10,Sim,Jornal,9,10,3,6,3,Sim,E-mail,8,9,10,9,2,Sim,Não,WhatsApp,Falta de energia,2,2,10,1,7,7,4,6,5,2,10,8,2,2,9,8,1,6,6,218,2.0,Baixa renda,9.909090909090908,AL,True,False,False,1,Baixo (<10%)
ALAGOAS,CAJUEIRO,LESTE,Masculino,18 - 30,Fundamental incompleto,3,1900.0,De 1501 a 2000,633.3333333333334,De 601 a 700,De 71 a 80%,8,8,8,Não,,,7,8,8,3,Não,Impressa e entregue pelo leiturista,10,4,3,9,1,Não,Sim,WhatsApp,Informações gerais,3,5,8,8,1,4,1,2,9,10,3,7,2,7,1,6,8,3,7,485,3.0,Baixa renda,25.526315789473685,AL,True,True,True,3,Alto (>20%)
ALAGOAS,CAJUEIRO,LESTE,Feminino,31 - 40,Fundamental completo,1,1650.0,De 1501 a 2000,1650.0,De 1501 a 2000,De 21 a 30%,6,4,4,Não,,,10,7,8,6,Não,Impressa e entregue pelo leiturista,1,7,7,8,4,Não,Não,WhatsApp,Falta de energia,5,6,10,5,10,10,3,10,7,9,7,5,2,6,1,5,9,3,6,466,1.0,Classe B,28.242424242424242,AL,False,False,True,1,Alto (>20%)
ALAGOAS,CAJUEIRO,LESTE,Masculino,31 - 40,Médio completo,7,5833.333333333333,Acima de 5000,833.3333333333333,De 801 a 900,De 21 a 30%,10,5,4,Sim,Jornal,5,9,9,7,8,Sim,Impressa e entregue pelo leiturista,9,6,3,9,10,Sim,Não,WhatsApp,2ª via de conta,6,3,4,8,5,4,2,2,7,1,5,9,10,2,7,10,6,4,9,174,2.0,Classe C,2.982857142857143,AL,False,False,False,0,Baixo (<10%)
ALAGOAS,CAJUEIRO,LESTE,Masculino,31 - 40,Superior completo,4,4666.666666666667,De 4501 a 5000,1166.6666666666667,De 1001 a 1500,De 41 a 50%,10,10,10,Não,,,7,6,7,10,Sim,E-mail,7,9,7,10,7,Sim,Não,WhatsApp,Tarifa Social,10,10,3,9,6,9,2,9,3,6,4,10,5,5,10,9,7,5,8,491,5.0,Classe C,10.52142857142857,AL,False,False,True,1,Medio (10-20%)
ALAGOAS,CRAIBAS,OESTE,Feminino,41 - 50,Médio completo,3,1600.0,De 1501 a 2000,533.3333333333334,De 501 a 600,De 91 a 100%,7,1,9,Sim,Rádio,9,4,4,9,9,Não,E-mail,9,9,10,9,3,Não,Sim,Agência,2ª via de conta,2,4,5,5,1,1,4,5,5,6,2,2,6,5,5,3,4,4,4,481,2.0,Baixa renda,30.062499999999996,AL,True,False,True,2,Alto (>20%)
ALAGOAS,CRAIBAS,OESTE,Masculino,18 - 30,Médio completo,5,2166.6666666666665,De 2001 a 2500,433.3333333333333,De 401 a 500,De 71 a 80%,4,4,8,Não,,,6,8,7,9,Sim,Impressa e entregue pelo leiturista,3,2,3,9,3,Não,Sim,Eletricista/ Leiturista,2ª via de conta,3,4,3,2,2,2,2,2,5,7,4,2,5,6,2,5,8,2,1,341,1.0,Baixa renda,15.73846153846154,AL,True,False,True,2,Medio (10-20%)
ALAGOAS,CRAIBAS,OESTE,Masculino,Acima de 60,Médio completo,4,2666.6666666666665,De 2501 a 3000,666.6666666666666,De 601 a 700,De 41 a 50%,9,9,10,Não,,,8,6,10,4,Não,Impressa e entregue pelo leiturista,6,5,2,6,7,Não,Sim,Eletricista/ Leiturista,Informações gerais,5,9,10,8,10,7,7,8,10,2,6,5,7,8,3,8,7,8,4,311,1.0,Baixa renda,11.662500000000001,AL,True,False,True,2,Medio (10-20%)
ALAGOAS,CRAIBAS,OESTE,Masculino,51 - 60,Médio completo,2,2400.0,De 2001 a 2500,1200.0,De 1001 a 1500,De 31 a 40%,9,6,7,Não,,,7,8,7,7,Não,E-mail,10,9,7,4,10,Sim,Não,Telefone 0800,Falta de energia,1,5,9,7,10,3,8,4,9,8,8,2,6,5,10,9,2,1,7,472,1.0,Classe C,19.666666666666664,AL,False,False,True,1,Medio (10-20%)
ALAGOAS,CRAIBAS,OESTE,Feminino,31 - 40,Fundamental completo,3,1900.0,De 1501 a 2000,633.3333333333334,De 601 a 700,De 31 a 40%,7,1,1,Não,,,10,5,8,6,Não,Impressa e entregue pelo leiturista,5,5,5,8,10,Sim,Não,Telefone 0800,Falta de energia,5,6,5,8,7,7,5,9,10,1,4,3,3,6,6,3,8,1,6,241,2.0,Baixa renda,12.68421052631579,AL,True,False,True,2,Medio (10-20%)
ALAGOAS,CRAIBAS,OESTE,Feminino,18 - 30,Superior completo,3,3800.0,De 3501 a 4000,1266.6666666666667,De 1001 a 1500,De 31 a 40%,7,1,9,Sim,Porteiro/ Síndico,4,7,5,10,4,Não,Aplicativo,1,2,6,7,7,Não,Não,Telefone 0800,Informações gerais,5,6,10,9,5,10,6,6,8,6,7,2,2,5,3,3,6,6,10,496,4.0,Classe B,13.052631578947368,AL,False,False,True,1,Medio (10-20%)
ALAGOAS,CRAIBAS,OESTE,Masculino,Acima de 60,Pós Graduação/ Mestrado/ Doutorado,8,10666.666666666666,Acima de 5000,1333.3333333333333,De 1001 a 1500,De 11 a 20%,2,2,1,Não,,,9,6,3,8,Sim,E-mail,2,1,6,9,10,Não,Não,Telefone 0800,Informações gerais,5,10,10,10,3,2,6,3,5,1,2,6,3,7,6,9,2,10,6,177,4.0,Classe B,1.659375,AL,False,False,False,0,Baixo (<10%)
ALAGOAS,CRAIBAS,OESTE,Feminino,18 - 30,Superior completo,5,5166.666666666667,Acima de 5000,1033.3333333333335,De 1001 a 1500,De 41 a 50%,9,9,7,Sim,Jornal,7,4,8,9,9,Sim,Impressa e entregue pelo leiturista,9,9,9,8,6,Não,Sim,Telefone 0800,Falta de energia,7,10,10,10,8,7,9,7,8,4,7,1,6,7,3,1,1,1,7,497,2.0,Classe C,9.619354838709677,AL,False,False,False,0,Baixo (<10%)
ALAGOAS,CRAIBAS,OESTE,Feminino,51 - 60,Fundamental completo,4,3200.0,De 3001 a 3500,800.0,De 701 a 800,De 41 a 50%,8,8,8,Sim,Carro de som,8,9,5,4,4,Não,Impressa e entregue pelo leiturista,4,3,1,7,1,Não,Não,WhatsApp,2ª via de conta,7,8,4,7,8,10,6,1,3,6,8,7,10,3,4,8,5,9,8,377,1.0,Baixa renda,11.78125,AL,True,False,True,2,Medio (10-20%)
ALAGOAS,CRAIBAS,OESTE,Masculino,Acima de 60,Médio completo,5,4166.666666666667,De 4001 a 4500,833.3333333333334,De 801 a 900,De 21 a 30%,4,4,9,Não,,,6,6,5,6,Sim,Aplicativo,7,9,9,8,5,Não,Não,WhatsApp,Religação de energia,8,5,8,2,4,8,9,9,5,7,10,4,6,6,1,3,2,7,8,178,2.0,Classe C,4.271999999999999,AL,False,False,False,0,Baixo (<10%)
ALAGOAS,MACEIO,LESTE,Feminino,31 - 40,Fundamental completo,4,2533.3333333333335,De 2501 a 3000,633.3333333333334,De 601 a 700,De 71 a 80%,7,7,7,Sim,Rádio,7,4,3,7,5,Não,E-mail,9,9,10,10,5,Sim,Não,Agência,Troca de Titularidade,1,2,2,4,4,4,4,4,2,4,3,1,6,5,1,5,1,4,2,459,3.0,Baixa renda,18.11842105263158,AL,True,False,True,2,Medio (10-20%)
ALAGOAS,MACEIO,LESTE,Masculino,Acima de 60,Analfabeto,4,2666.6666666666665,De 2501 a 3000,666.6666666666666,De 601 a 700,De 31 a 40%,8,8,8,Não,,,6,8,4,7,Não,Impressa e entregue pelo leiturista,10,9,4,9,1,Não,Sim,Agência,Parcelamento de conta,1,3,4,4,3,5,3,5,2,6,1,1,3,4,4,5,4,1,5,268,2.0,Baixa renda,10.05,AL,True,True,True,3,Medio (10-20%)
ALAGOAS,MACEIO,LESTE,Feminino,18 - 30,Superior completo,3,4000.0,De 3501 a 4000,1333.3333333333333,De 1001 a 1500,De 21 a 30%,7,7,3,Não,,,3,7,7,10,Não,Impressa e entregue pelo leiturista,8,9,8,9,4,Não,Sim,Agência,Ligação nova de energia,3,1,4,4,3,4,1,2,2,3,3,5,3,5,4,3,1,5,4,388,3.0,Classe B,9.700000000000001,AL,False,False,False,0,Baixo (<10%)
ALAGOAS,MACEIO,LESTE,Feminino,31 - 40,Superior completo,3,4000.0,De 3501 a 4000,1333.3333333333333,De 1001 a 1500,De 11 a 20%,10,10,10,Sim,Carro de som,8,7,6,10,3,Não,E-mail,9,9,8,9,2,Sim,Não,Agência,Ligação nova de energia,3,1,3,3,3,1,4,5,2,4,1,2,6,1,1,3,1,1,1,246,1.0,Classe B,6.15,AL,False,False,False,0,Baixo (<10%)
ALAGOAS,MACEIO,LESTE,Masculino,51 - 60,Médio completo,5,2666.6666666666665,De 2501 a 3000,533.3333333333333,De 501 a 600,De 41 a 50%,8,3,10,Sim,Jornal,4,8,5,6,8,Sim,E-mail,7,9,9,10,6,Sim,Sim,Agência,Ligação nova de energia,4,3,4,1,4,5,4,4,2,1,4,1,2,3,5,4,2,3,5,249,2.0,Baixa renda,9.3375,AL,True,False,False,1,Baixo (<10%)
ALAGOAS,MACEIO,LESTE,Feminino,41 - 50,Superior completo,1,2900.0,De 2501 a 3000,2900.0,Acima de 2000,De 11 a 20%,4,4,3,Não,,,3,6,6,3,Não,Impressa e entregue pelo leiturista,7,9,8,9,3,Não,Não,Agência,Religação de energia,4,4,3,2,3,1,5,3,2,2,3,6,6,1,4,5,1,3,1,485,5.0,Classe B,16.724137931034484,AL,False,False,True,1,Medio (10-20%)
ALAGOAS,MACEIO,LESTE,Masculino,31 - 40,Fundamental incompleto,4,2933.3333333333335,De 2501 a 3000,733.3333333333334,De 701 a 800,De 31 a 40%,10,10,6,Não,,,9,6,7,3,Sim,Aplicativo,10,9,7,9,3,Sim,Não,Agência,Religação de energia,4,3,3,5,2,3,5,5,4,5,4,2,3,3,2,5,4,2,2,278,2.0,Baixa renda,9.477272727272727,AL,True,True,False,2,Baixo (<10%)
ALAGOAS,MACEIO,LESTE,Feminino,18 - 30,Superior completo,2,3500.0,De 3001 a 3500,1750.0,De 1501 a 2000,Menos que 10%,8,8,8,Sim,Porteiro/ Síndico,8,9,4,10,10,Sim,E-mail,7,9,7,10,1,Não,Não,Agência,Ligação nova de energia,5,1,5,2,2,4,5,4,5,2,6,6,6,2,3,4,4,5,1,163,3.0,Classe B,4.657142857142857,AL,False,False,False,0,Baixo (<10%)
ALAGOAS,MACEIO,LESTE,Feminino,Acima de 60,Fundamental incompleto,5,3666.6666666666665,De 3501 a 4000,733.3333333333333,De 701 a 800,De 51 a 60%,7,7,7,Não,,,7,4,6,5,Sim,Impressa e entregue pelo leiturista,6,5,1,7,1,Não,Não,Agência,Religação de energia,5,4,3,4,3,2,1,4,2,6,6,6,5,5,5,4,3,3,3,403,3.0,Baixa renda,10.990909090909092,AL,True,True,True,3,Medio (10-20%)
ALAGOAS,MACEIO,LESTE,Masculino,51 - 60,Fundamental completo,3,5000.0,De 4501 a 5000,1666.6666666666667,De 1501 a 2000,De 11 a 20%,8,8,8,Sim,Jornal,5,7,8,5,7,Sim,E-mail,9,9,10,9,8,Não,Sim,Agência,Parcelamento de conta,5,2,1,3,4,1,2,2,1,1,1,4,5,5,4,1,2,4,2,281,2.0,Classe B,5.62,AL,False,False,False,0,Baixo (<10%)
ALAGOAS,MACEIO,LESTE,Masculino,18 - 30,Superior completo,5,6666.666666666667,Acima de 5000,1333.3333333333335,De 1001 a 1500,De 11 a 20%,7,7,10,Não,,,3,4,7,6,Sim,E-mail,9,9,9,8,1,Não,Não,Agência,Ligação nova de energia,5,4,1,5,4,2,1,5,2,3,3,1,6,4,2,5,3,5,1,178,1.0,Classe B,2.67,AL,False,False,False,0,Baixo (<10%)
